time,value
0.972,2.0528
0.986,2.064
0.99,2.0532
0.993,2.0654
0.995,2.0479
1,2.0636
2,2.0347
3,2.0125
5,1.9633
8,1.9301
9,1.9266
10,1.8983
14,1.8479
17,1.8049
20,1.7812
23,1.7461
24,1.7444
28,1.7031
33,1.678
38,1.6404
42,1.6247
47,1.597
50,1.5916
52,1.5762
55,1.5679
56,1.5569
58,1.5584
59,1.5493
65,1.5359
69,1.5181
70,1.524
71,1.5099
73,1.5112
78,1.4897
80,1.493
86,1.478
87,1.4702
91,1.4727
95,1.4559
97,1.4579
100,1.4511
