time,values
2e-05,0.26953
3e-05,0.26788
4e-05,0.27576
5e-05,0.27026
6e-05,0.27759
7e-05,0.26953
8e-05,0.27814
9e-05,0.27997
0.0001,0.29059
0.00011,0.28271
0.00012,0.29041
0.00013,0.29022
0.00014,0.2981
0.00015,0.29755
0.00016,0.30615
0.00017,0.29993
0.00018,0.30084
0.00019,0.30542
0.0002,0.30872
0.00021,0.30981
0.00022,0.31421
0.00023,0.31952
0.00024,0.31512
0.00025,0.32025
0.00026,0.3241
0.00027,0.32739
0.00028,0.33472
0.00029,0.33545
0.0003,0.33948
0.00031,0.34277
0.00032,0.34259
0.00033,0.34882
0.00034,0.34937
0.00035,0.35083
0.00036,0.35175
0.00037,0.35632
0.00038,0.35706
0.00039,0.35669
0.0004,0.35815
0.00041,0.36566
0.00042,0.36475
0.00043,0.37537
0.00044,0.36713
0.00045,0.37061
0.00046,0.3739
0.00047,0.3728
0.00048,0.37701
0.00049,0.38196
0.0005,0.37958
0.00051,0.38141
0.00052,0.38232
0.00053,0.38617
0.00054,0.38251
0.00055,0.38635
0.00056,0.39532
0.00057,0.3902
0.00058,0.38818
0.00059,0.39954
0.0006,0.39313
0.00061,0.39606
0.00062,0.39587
0.00063,0.39642
0.00064,0.39679
0.00065,0.39624
0.00066,0.40009
0.00067,0.40265
0.00068,0.40283
0.00069,0.40009
0.0007,0.40155
0.00071,0.40009
0.00072,0.40594
0.00073,0.40631
0.00074,0.40668
0.00075,0.40613
0.00076,0.40906
0.00077,0.40906
0.00078,0.40759
0.00079,0.41327
0.0008,0.40979
0.00081,0.40997
0.00082,0.40631
0.00083,0.41345
0.00084,0.4118
0.00085,0.41107
0.00086,0.41144
0.00087,0.41418
0.00088,0.41272
0.00089,0.41931
0.0009,0.41602
0.00091,0.41711
0.00092,0.41144
0.00093,0.41199
0.00094,0.41437
0.00095,0.41949
0.00096,0.41345
0.00097,0.41821
0.00098,0.41492
0.00099,0.41547
0.001,0.41254
0.00101,0.41602
0.00102,0.41638
0.00103,0.42517
0.00104,0.41327
0.00105,0.42169
0.00106,0.41913
0.00107,0.41437
0.00108,0.41986
0.00109,0.41547
0.0011,0.41968
0.00111,0.41986
0.00112,0.42041
0.00113,0.41913
0.00114,0.42096
0.00115,0.42041
0.00116,0.41821
0.00117,0.42096
0.00118,0.42187
0.00119,0.4173
0.0012,0.42206
0.00121,0.41748
0.00122,0.42004
0.00123,0.42426
0.00124,0.4248
0.00125,0.42499
0.00126,0.42847
0.00127,0.42407
0.00128,0.42059
0.00129,0.43433
0.0013,0.4314
0.00131,0.42242
0.00132,0.42499
0.00133,0.42664
0.00134,0.42023
0.00135,0.42352
0.00136,0.42371
0.00137,0.42133
0.00138,0.42297
0.00139,0.42719
0.0014,0.42773
0.00141,0.42609
0.00142,0.4184
0.00143,0.42316
0.00144,0.42371
0.00145,0.42627
0.00146,0.42407
0.00147,0.42554
0.00148,0.43195
0.00149,0.42242
0.0015,0.42554
0.00151,0.42828
0.00152,0.42993
0.00153,0.42957
0.00154,0.42242
0.00155,0.42242
0.00156,0.42224
0.00157,0.4281
0.00158,0.42407
0.00159,0.42407
0.0016,0.42792
0.00161,0.42389
0.00162,0.42645
0.00163,0.42755
0.00164,0.42114
0.00165,0.42645
0.00166,0.4248
0.00167,0.4281
0.00168,0.427
0.00169,0.42371
0.0017,0.43011
0.00171,0.42719
0.00172,0.42297
0.00173,0.42517
0.00174,0.42242
0.00175,0.42499
0.00176,0.42114
0.00177,0.42609
0.00178,0.42737
0.00179,0.43048
0.0018,0.42297
0.00181,0.42847
0.00182,0.42444
0.00183,0.42883
0.00184,0.42389
0.00185,0.41986
0.00186,0.42535
0.00187,0.42554
0.00188,0.4281
0.00189,0.42792
0.0019,0.42517
0.00191,0.42224
0.00192,0.42645
0.00193,0.42902
0.00194,0.43195
0.00195,0.42645
0.00196,0.42719
0.00197,0.42352
0.00198,0.42352
0.00199,0.42993
0.002,0.41931
0.003,0.42334
0.004,0.42297
0.005,0.41766
0.006,0.42407
0.007,0.42371
0.008,0.42865
0.009,0.42828
0.01,0.43414
0.011,0.43213
0.012,0.43561
0.013,0.43488
0.014,0.43781
0.015,0.44312
0.016,0.44824
0.017,0.44879
0.018,0.4444
0.019,0.44989
0.02,0.44531
0.021,0.44385
0.022,0.44696
0.023,0.44769
0.024,0.44806
0.025,0.44879
0.026,0.44788
0.027,0.44513
0.028,0.45264
0.029,0.4444
0.03,0.45007
0.031,0.45044
0.032,0.45135
0.033,0.45575
0.034,0.45667
0.035,0.45502
0.036,0.45245
0.037,0.45099
0.038,0.45026
0.039,0.45502
0.04,0.45502
0.041,0.45374
0.042,0.45374
0.043,0.45886
0.044,0.45319
0.045,0.45319
0.046,0.45282
0.047,0.4563
0.048,0.45135
0.049,0.45154
0.05,0.4541
0.051,0.45355
0.052,0.45264
0.053,0.45135
0.054,0.45868
0.055,0.45703
0.056,0.45538
0.057,0.4585
0.058,0.45648
0.059,0.45483
0.06,0.4519
0.061,0.45996
0.062,0.45392
0.063,0.45721
0.064,0.45428
0.065,0.45721
0.066,0.46252
0.067,0.4704
0.068,0.45868
0.069,0.45996
0.07,0.45886
0.071,0.46271
0.072,0.46161
0.073,0.46033
0.074,0.46417
0.075,0.46234
0.076,0.46033
0.077,0.45502
0.078,0.46527
0.079,0.45905
0.08,0.46399
0.081,0.466
0.082,0.46124
0.083,0.4671
0.084,0.46381
0.085,0.46582
0.086,0.46106
0.087,0.46014
0.088,0.4682
0.089,0.4671
0.09,0.46399
0.091,0.46436
0.092,0.46948
0.093,0.46637
0.094,0.46747
0.095,0.46234
0.096,0.47076
0.097,0.46838
0.098,0.47205
0.099,0.47278
0.1,0.47388
0.101,0.46747
0.102,0.46234
0.103,0.47131
0.104,0.46783
0.105,0.47113
0.106,0.47058
0.107,0.46857
0.108,0.4726
0.109,0.4715
0.11,0.47534
0.111,0.47278
0.112,0.47498
0.113,0.47314
0.114,0.47388
0.115,0.47351
0.116,0.47333
0.117,0.47461
0.118,0.46985
0.119,0.48248
0.12,0.47443
0.121,0.47168
0.122,0.4715
0.123,0.47681
0.124,0.47754
0.125,0.4726
0.126,0.47589
0.127,0.47809
0.128,0.47534
0.129,0.47791
0.13,0.47772
0.131,0.47864
0.132,0.48047
0.133,0.47699
0.134,0.48029
0.135,0.47351
0.136,0.47717
0.137,0.47791
0.138,0.4726
0.139,0.47626
0.14,0.47754
0.141,0.48138
0.142,0.47882
0.143,0.47351
0.144,0.47845
0.145,0.47754
0.146,0.479
0.147,0.47791
0.148,0.4801
0.149,0.48285
0.15,0.4845
0.151,0.47827
0.152,0.48083
0.153,0.48248
0.154,0.47882
0.155,0.48102
0.156,0.47882
0.157,0.4823
0.158,0.47955
0.159,0.4834
0.16,0.48376
0.161,0.48267
0.162,0.48157
0.163,0.48376
0.164,0.48358
0.165,0.47791
0.166,0.48212
0.167,0.4801
0.168,0.48358
0.169,0.48083
0.17,0.48358
0.171,0.4823
0.172,0.47919
0.173,0.47864
0.174,0.48395
0.175,0.48065
0.176,0.48505
0.177,0.48322
0.178,0.48322
0.179,0.47589
0.18,0.48486
0.181,0.48779
0.182,0.47974
0.183,0.48358
0.184,0.48962
0.185,0.48065
0.186,0.48029
0.187,0.4823
0.188,0.48413
0.189,0.47882
0.19,0.47791
0.191,0.48376
0.192,0.48761
0.193,0.48596
0.194,0.48596
0.195,0.48413
0.196,0.48248
0.197,0.4801
0.198,0.48596
0.199,0.4856
0.2,0.48761
0.201,0.48541
0.202,0.48486
0.203,0.48083
0.204,0.48267
0.205,0.48413
0.206,0.48303
0.207,0.4845
0.208,0.4801
0.209,0.48303
0.21,0.48541
0.211,0.48413
0.212,0.48523
0.213,0.4812
0.214,0.48376
0.215,0.48651
0.216,0.48596
0.217,0.48468
0.218,0.48267
0.219,0.48212
0.22,0.48651
0.221,0.4823
0.222,0.48962
0.223,0.47681
0.224,0.48322
0.225,0.48688
0.226,0.48486
0.227,0.48779
0.228,0.48267
0.229,0.48248
0.23,0.48322
0.231,0.48816
0.232,0.48669
0.233,0.48669
0.234,0.48798
0.235,0.48047
0.236,0.47882
0.237,0.48651
0.238,0.4845
0.239,0.48761
0.24,0.49054
0.241,0.4812
0.242,0.48285
0.243,0.48431
0.244,0.48303
0.245,0.48157
0.246,0.48669
0.247,0.48981
0.248,0.48376
0.249,0.48285
0.25,0.47937
0.251,0.48065
0.252,0.48816
0.253,0.48688
0.254,0.47937
0.255,0.48248
0.256,0.48376
0.257,0.48138
0.258,0.48029
0.259,0.47992
0.26,0.48193
0.261,0.49219
0.262,0.48248
0.263,0.48541
0.264,0.48212
0.265,0.48468
0.266,0.48523
0.267,0.48303
0.268,0.48157
0.269,0.48669
0.27,0.48468
0.271,0.48651
0.272,0.48413
0.273,0.48761
0.274,0.47992
0.275,0.48578
0.276,0.48083
0.277,0.48706
0.278,0.48834
0.279,0.48431
0.28,0.48431
0.281,0.48798
0.282,0.48651
0.283,0.48523
0.284,0.48157
0.285,0.48157
0.286,0.48578
0.287,0.48248
0.288,0.48413
0.289,0.48523
0.29,0.48376
0.291,0.48798
0.292,0.48541
0.293,0.48578
0.294,0.4845
0.295,0.48248
0.296,0.48999
0.297,0.48505
0.298,0.48431
0.299,0.48376
0.3,0.4834
0.301,0.48047
0.302,0.48376
0.303,0.48505
0.304,0.49054
0.305,0.48138
0.306,0.48578
0.307,0.48065
0.308,0.48322
0.309,0.48267
0.31,0.47955
0.311,0.48596
0.312,0.48395
0.313,0.48413
0.314,0.48633
0.315,0.48285
0.316,0.48743
0.317,0.48358
0.318,0.48486
0.319,0.48743
0.32,0.48999
0.321,0.48688
0.322,0.48303
0.323,0.48303
0.324,0.48431
0.325,0.48358
0.326,0.48468
0.327,0.48267
0.328,0.47717
0.329,0.48248
0.33,0.48834
0.331,0.4834
0.332,0.48706
0.333,0.48029
0.334,0.48083
0.335,0.48706
0.336,0.48322
0.337,0.48193
0.338,0.47937
0.339,0.48029
0.34,0.48761
0.341,0.48706
0.342,0.479
0.343,0.4834
0.344,0.48578
0.345,0.48651
0.346,0.48395
0.347,0.48175
0.348,0.4834
0.349,0.48358
0.35,0.48102
0.351,0.4823
0.352,0.48523
0.353,0.48248
0.354,0.48102
0.355,0.48706
0.356,0.48578
0.357,0.48083
0.358,0.48065
0.359,0.48248
0.36,0.4856
0.361,0.48193
0.362,0.48267
0.363,0.47992
0.364,0.48633
0.365,0.4823
0.366,0.48083
0.367,0.48285
0.368,0.4812
0.369,0.48083
0.37,0.4812
0.371,0.47974
0.372,0.48303
0.373,0.48615
0.374,0.48431
0.375,0.48633
0.376,0.47937
0.377,0.48065
0.378,0.48523
0.379,0.47736
0.38,0.48395
0.381,0.47937
0.382,0.4834
0.383,0.48541
0.384,0.47992
0.385,0.48431
0.386,0.48303
0.387,0.47681
0.388,0.48065
0.389,0.48285
0.39,0.48615
0.391,0.48761
0.392,0.48047
0.393,0.4823
0.394,0.48212
0.395,0.4812
0.396,0.48358
0.397,0.48322
0.398,0.48138
0.399,0.47809
0.4,0.48065
0.401,0.48102
0.402,0.47516
0.403,0.48413
0.404,0.48322
0.405,0.47754
0.406,0.4834
0.407,0.47791
0.408,0.48157
0.409,0.48285
0.41,0.48761
0.411,0.47845
0.412,0.48102
0.413,0.48376
0.414,0.4823
0.415,0.47772
0.416,0.48193
0.417,0.48651
0.418,0.48102
0.419,0.4812
0.42,0.48615
0.421,0.48267
0.422,0.48248
0.423,0.48285
0.424,0.47992
0.425,0.47919
0.426,0.47626
0.427,0.479
0.428,0.47607
0.429,0.48065
0.43,0.47809
0.431,0.47607
0.432,0.47644
0.433,0.47809
0.434,0.47845
0.435,0.479
0.436,0.47937
0.437,0.48358
0.438,0.47772
0.439,0.47919
0.44,0.47882
0.441,0.47955
0.442,0.47351
0.443,0.47717
0.444,0.47809
0.445,0.47882
0.446,0.48303
0.447,0.47992
0.448,0.4801
0.449,0.479
0.45,0.47424
0.451,0.48047
0.452,0.48303
0.453,0.47644
0.454,0.47809
0.455,0.479
0.456,0.47516
0.457,0.48138
0.458,0.47736
0.459,0.48303
0.46,0.48047
0.461,0.48303
0.462,0.48541
0.463,0.4812
0.464,0.47552
0.465,0.47772
0.466,0.48212
0.467,0.47571
0.468,0.47278
0.469,0.48651
0.47,0.48065
0.471,0.47699
0.472,0.47809
0.473,0.48175
0.474,0.48102
0.475,0.48029
0.476,0.47772
0.477,0.48303
0.478,0.47571
0.479,0.48212
0.48,0.47681
0.481,0.47827
0.482,0.47772
0.483,0.47516
0.484,0.479
0.485,0.47461
0.486,0.47992
0.487,0.47754
0.488,0.47937
0.489,0.47937
0.49,0.47754
0.491,0.48065
0.492,0.4823
0.493,0.47516
0.494,0.47992
0.495,0.47809
0.496,0.47571
0.497,0.47443
0.498,0.48102
0.499,0.47388
0.5,0.47333
0.501,0.48083
0.502,0.47461
0.503,0.47461
0.504,0.4801
0.505,0.47937
0.506,0.47919
0.507,0.47809
0.508,0.47516
0.509,0.47461
0.51,0.47864
0.511,0.47662
0.512,0.47278
0.513,0.47205
0.514,0.47607
0.515,0.4801
0.516,0.47772
0.517,0.47827
0.518,0.47809
0.519,0.47717
0.52,0.47296
0.521,0.47919
0.522,0.47534
0.523,0.47717
0.524,0.47571
0.525,0.47479
0.526,0.47571
0.527,0.4726
0.528,0.47644
0.529,0.4715
0.53,0.48175
0.531,0.48505
0.532,0.47754
0.533,0.47589
0.534,0.47461
0.535,0.47827
0.536,0.47699
0.537,0.47717
0.538,0.47662
0.539,0.47717
0.54,0.47571
0.541,0.47772
0.542,0.47992
0.543,0.47626
