time,values
0.14,2.0409
0.141,2.04
0.142,2.0409
0.143,2.0413
0.144,2.0462
0.145,2.0414
0.146,2.0484
0.147,2.0436
0.148,2.0444
0.149,2.0446
0.15,2.0435
0.151,2.0499
0.152,2.0438
0.153,2.0407
0.154,2.0511
0.155,2.0449
0.156,2.0479
0.157,2.048
0.158,2.0493
0.159,2.0453
0.16,2.048
0.161,2.0453
0.162,2.0469
0.163,2.0488
0.164,2.0458
0.165,2.051
0.166,2.0462
0.167,2.0455
0.168,2.048
0.169,2.0464
0.17,2.0526
0.171,2.0519
0.172,2.0502
0.173,2.0543
0.174,2.0537
0.175,2.0515
0.176,2.0587
0.177,2.0468
0.178,2.0511
0.179,2.0539
0.18,2.0517
0.181,2.0499
0.182,2.05
0.183,2.0515
0.184,2.0517
0.185,2.0576
0.186,2.0603
0.187,2.0526
0.188,2.0583
0.189,2.0623
0.19,2.0568
0.191,2.0548
0.192,2.0508
0.193,2.0592
0.194,2.0552
0.195,2.0544
0.196,2.0634
0.197,2.0532
0.198,2.0574
0.199,2.0532
0.2,2.0539
0.201,2.0535
0.202,2.0629
0.203,2.0555
0.204,2.0541
0.205,2.0579
0.206,2.0581
0.207,2.0579
0.208,2.0587
0.209,2.0541
0.21,2.0616
0.211,2.0612
0.212,2.0583
0.213,2.0627
0.214,2.0596
0.215,2.0579
0.216,2.0585
0.217,2.0614
0.218,2.0588
0.219,2.0502
0.22,2.0577
0.221,2.0581
0.222,2.064
0.223,2.0592
0.224,2.0605
0.225,2.0583
0.226,2.0618
0.227,2.061
0.228,2.0554
0.229,2.0684
0.23,2.062
0.231,2.0609
0.232,2.0671
0.233,2.061
0.234,2.0601
0.235,2.064
0.236,2.0627
0.237,2.0638
0.238,2.0612
0.239,2.0643
0.24,2.0601
0.241,2.0658
0.242,2.0755
0.243,2.0609
0.244,2.0654
0.245,2.0638
0.246,2.0663
0.247,2.0662
0.248,2.0654
0.249,2.0728
0.25,2.0693
0.251,2.0645
0.252,2.066
0.253,2.0651
0.254,2.0643
0.255,2.0678
0.256,2.0621
0.257,2.0687
0.258,2.0645
0.259,2.0669
0.26,2.0689
0.261,2.0665
0.262,2.0652
0.263,2.0676
0.264,2.063
0.265,2.0647
0.266,2.0652
0.267,2.0731
0.268,2.0685
0.269,2.0713
0.27,2.0702
0.271,2.066
0.272,2.0669
0.273,2.0599
0.274,2.0651
0.275,2.0755
0.276,2.0656
0.277,2.0671
0.278,2.0687
0.279,2.0695
0.28,2.0715
0.281,2.0691
0.282,2.0691
0.283,2.0739
0.284,2.0674
0.285,2.0724
0.286,2.0717
0.287,2.0704
0.288,2.07
0.289,2.0717
0.29,2.068
0.291,2.0771
0.292,2.0757
0.293,2.0693
0.294,2.0753
0.295,2.0717
0.296,2.0795
0.297,2.0762
0.298,2.0799
0.299,2.0704
0.3,2.0687
0.301,2.0726
0.302,2.0742
0.303,2.0649
0.304,2.0733
0.305,2.0755
0.306,2.0685
0.307,2.075
0.308,2.075
0.309,2.0748
0.31,2.0792
0.311,2.0759
0.312,2.0718
0.313,2.0766
0.314,2.0832
0.315,2.0779
0.316,2.0735
0.317,2.0755
0.318,2.0753
0.319,2.0724
0.32,2.0674
0.321,2.074
0.322,2.0737
0.323,2.0739
0.324,2.0759
0.325,2.0777
0.326,2.0744
0.327,2.0742
0.328,2.0784
0.329,2.0814
0.33,2.0757
0.331,2.0801
0.332,2.0782
0.333,2.0817
0.334,2.0779
0.335,2.0782
0.336,2.0788
0.337,2.0815
0.338,2.0795
0.339,2.0814
0.34,2.0828
0.341,2.0819
0.342,2.0773
0.343,2.0821
0.344,2.0775
0.345,2.0777
0.346,2.0858
0.347,2.0823
0.348,2.0773
0.349,2.0764
0.35,2.075
0.351,2.0808
0.352,2.0788
0.353,2.0843
0.354,2.0759
0.355,2.0792
0.356,2.0837
0.357,2.077
0.358,2.081
0.359,2.0823
0.36,2.083
0.361,2.0825
0.362,2.0828
0.363,2.0755
0.364,2.0799
0.365,2.0848
0.366,2.0797
0.367,2.0841
0.368,2.0823
0.369,2.0858
0.37,2.0797
0.371,2.0858
0.372,2.0819
0.373,2.0885
0.374,2.0806
0.375,2.0867
0.376,2.0837
0.377,2.0834
0.378,2.0814
0.379,2.0815
0.38,2.0834
0.381,2.0839
0.382,2.0804
0.383,2.085
0.384,2.0821
0.385,2.0797
0.386,2.0883
0.387,2.0843
0.388,2.0797
0.389,2.083
0.39,2.0872
0.391,2.085
0.392,2.0821
0.393,2.0804
0.394,2.0843
0.395,2.0836
0.396,2.0858
0.397,2.0832
0.398,2.0863
0.399,2.0839
0.4,2.0839
0.401,2.0834
0.402,2.0874
0.403,2.0869
0.404,2.0784
0.405,2.0782
0.406,2.0847
0.407,2.0821
0.408,2.0843
0.409,2.0874
0.41,2.085
0.411,2.0823
0.412,2.0834
0.413,2.0839
0.414,2.0889
0.415,2.0843
0.416,2.0817
0.417,2.0819
0.418,2.0841
0.419,2.085
0.42,2.0852
0.421,2.0887
0.422,2.0881
0.423,2.0808
0.424,2.0751
0.425,2.0869
0.426,2.0781
0.427,2.0812
0.428,2.0792
0.429,2.0854
0.43,2.0891
0.431,2.0828
0.432,2.083
0.433,2.0795
0.434,2.0885
0.435,2.0812
0.436,2.0859
0.437,2.0821
0.438,2.0803
0.439,2.0881
0.44,2.0808
0.441,2.0847
0.442,2.0825
0.443,2.0795
0.444,2.0801
0.445,2.0777
0.446,2.0808
0.447,2.0858
0.448,2.0819
0.449,2.0859
0.45,2.0814
0.451,2.0815
0.452,2.0867
0.453,2.0885
0.454,2.0797
0.455,2.0821
0.456,2.0775
0.457,2.0878
0.458,2.0845
0.459,2.0812
0.46,2.0848
0.461,2.0817
0.462,2.0858
0.463,2.0825
0.464,2.0825
0.465,2.0848
0.466,2.0819
0.467,2.0795
0.468,2.0837
0.469,2.0817
0.47,2.0821
0.471,2.0775
0.472,2.0852
0.473,2.0808
0.474,2.0814
0.475,2.0771
0.476,2.0771
0.477,2.0793
0.478,2.0771
0.479,2.0799
0.48,2.0793
0.481,2.0784
0.482,2.0858
0.483,2.0815
0.484,2.0821
0.485,2.0815
0.486,2.0826
0.487,2.0766
0.488,2.0812
0.489,2.0775
0.49,2.0804
0.491,2.0841
0.492,2.0795
0.493,2.0815
0.494,2.0797
0.495,2.0847
0.496,2.0799
0.497,2.0812
0.498,2.0808
0.499,2.0841
0.5,2.0819
0.501,2.0759
0.502,2.0793
0.503,2.0757
0.504,2.0817
0.505,2.0801
0.506,2.0766
0.507,2.0764
0.508,2.0764
0.509,2.081
0.51,2.0797
0.511,2.0764
0.512,2.0773
0.513,2.0804
0.514,2.0766
0.515,2.0786
0.516,2.0759
0.517,2.0757
0.518,2.0722
0.519,2.0728
0.52,2.0792
0.521,2.0795
0.522,2.0777
0.523,2.0781
0.524,2.0779
0.525,2.0784
0.526,2.0786
0.527,2.0837
0.528,2.0718
0.529,2.0823
0.53,2.0823
0.531,2.0746
0.532,2.0717
0.533,2.0722
0.534,2.0771
0.535,2.0792
0.536,2.0781
0.537,2.0744
0.538,2.074
0.539,2.0748
0.54,2.0773
0.541,2.0764
0.542,2.074
0.543,2.0773
0.544,2.0673
0.545,2.0717
0.546,2.076
0.547,2.0753
0.548,2.0768
0.549,2.0825
0.55,2.0771
0.551,2.076
0.552,2.0733
0.553,2.0742
0.554,2.0788
0.555,2.075
0.556,2.0748
0.557,2.0771
0.558,2.0742
0.559,2.077
0.56,2.0711
0.561,2.0726
0.562,2.0748
0.563,2.0773
0.564,2.072
0.565,2.0759
0.566,2.0671
0.567,2.0707
0.568,2.0669
0.569,2.0715
0.57,2.0706
0.571,2.0728
0.572,2.0695
0.573,2.0788
0.574,2.068
0.575,2.0711
0.576,2.0726
0.577,2.076
0.578,2.0801
0.579,2.0757
0.58,2.0748
0.581,2.0687
0.582,2.07
0.583,2.0724
0.584,2.0733
0.585,2.0773
0.586,2.0852
0.587,2.0724
0.588,2.0696
0.589,2.0718
