time,FLY
2e-05,1.108317796130367
3e-05,1.353274138237453
4e-05,1.5008341412736086
5e-05,1.5896657921154114
6e-05,1.6430870992544495
7e-05,1.675156253843865
8e-05,1.6943507095721206
9e-05,1.7057837409864276
0.0001,1.7125385517333473
0.00011,1.7164746202102839
0.00012,1.7187136418149753
0.00013,1.7199319571950928
0.00014,1.7205376788961337
0.00015,1.7207768290009544
0.00016,1.7207977959090663
0.00017,1.7206901041210791
0.00018,1.7205076248354465
0.00019,1.7202828525297176
0.0002,1.7200354059693381
0.00021,1.7197769670064322
0.00022,1.719514658928409
0.00023,1.719252530991978
0.00024,1.7189932371379741
0.00025,1.7187381327595816
0.00026,1.7184880464415893
0.00027,1.7182434399544606
0.00028,1.7180045599714986
0.00029,1.7177715099592075
0.0003,1.7175442951636324
0.00031,1.7173228680788841
0.00032,1.7171071616403375
0.00033,1.7168970904631475
0.00034,1.716692585195282
0.00035,1.716493541634608
0.00036,1.7162998883177076
0.00037,1.716111515217718
0.00038,1.7159283272313162
0.00039,1.7157502227000354
0.0004,1.7155771036232406
0.00041,1.7154088801067486
0.00042,1.7152454609052128
0.00043,1.7150867617791354
0.00044,1.7149326880613387
0.00045,1.7147831639893474
0.00046,1.7146381068592254
0.00047,1.714497426375576
0.00048,1.7143610445077926
0.00049,1.7142288800918901
0.0005,1.7141008519159144
0.00051,1.7139768781600466
0.00052,1.7138568867954076
0.00053,1.7137408005899437
0.00054,1.7136285457761185
0.00055,1.7135200512843896
0.00056,1.7134152480249112
0.00057,1.7133140673695406
0.00058,1.7132164391176175
0.00059,1.713122297902919
0.0006,1.7130315767402526
0.00061,1.7129442104399661
0.00062,1.7128601351349977
0.00063,1.7127792873362395
0.00064,1.7127016043565129
0.00065,1.7126270288185268
0.00066,1.7125554999044346
0.00067,1.712486957836759
0.00068,1.7124213445159977
0.00069,1.7123586027877749
0.0007,1.71229868077471
0.00071,1.7122415224954184
0.00072,1.7121870744066388
0.00073,1.7121352842636017
0.00074,1.7120861008102146
0.00075,1.7120394717134966
0.00076,1.7119953485219872
0.00077,1.7119536827425648
0.00078,1.71191442688754
0.00079,1.711877533844537
0.0008,1.7118429536092004
0.00081,1.7118106429122655
0.00082,1.7117805571455897
0.00083,1.7117526525793567
0.00084,1.7117268852549048
0.00085,1.7117032097592504
0.00086,1.711681586432005
0.00087,1.7116619743143453
0.00088,1.7116443332565958
0.00089,1.7116286239182306
